iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
24,167,0.28,0,0,0,0,0.72,627.310456,1.58802016,103558.915,355.037964,2.16679535,78924.3522
24,168,0.29,0,0,0,0,0.71,459.28696,1.87599114,85164.1567,361.057005,2.14526911,79648.3294
25,169,0.49,0.01,0,0.01,0.1,0.39,489.120612,1.86524591,89171.2803,497.360402,1.6141186,98993.6693
25,170,0,0,0,0.72,0.28,0,523.325256,1.81836797,92589.2154,449.382936,0.0425030778,66923.5674
25,171,0,0,0,0.72,0.28,0,483.708958,2.00707303,89596.871,449.382936,0.0425030778,66923.5674
25,172,0,0,0,0.72,0.28,0,506.594711,1.87263876,91082.8276,449.382936,0.0425030778,66923.5674
26,173,0.32,0.01,0,0.01,0.1,0.56,-1,-1,-1,464.782591,1.92703843,93262.1244
26,174,0.37,0.06,0,0,0.17,0.4,-1,-1,-1,545.36563,1.6043069,97759.0506
26,175,0.42,0.03,0,0,0.14,0.42,-1,-1,-1,526.963772,1.67888447,98901.7515
26,176,0.34,0,0,0,0.08,0.58,-1,-1,-1,461.869862,1.95366314,90246.9096
