Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
3,91,0,0,0.04,0,0,0.96,70,80,8,8
1,92,0.01,0.28,0.11,0.46,0.11,0.03,65,80,7.92,8.45
2,92,0.01,0.28,0.11,0.46,0.11,0.03,65,80,7.96,8.5
3,92,0.01,0.28,0.11,0.46,0.11,0.03,65,80,7.82,8.1
4,92,0.01,0.28,0.11,0.46,0.11,0.03,65,80,7.86,8.3
1,93,0.49,0.06,0,0.14,0.02,0.29,75,80,7.93,7.8
2,93,0.49,0.06,0,0.14,0.02,0.29,75,80,7.86,7.75
3,93,0.49,0.06,0,0.14,0.02,0.29,75,80,7.9,7.72
1,94,0.1,0.02,0.05,0,0.03,0.8,75,80,8,8
1,95,0.14,0,0.07,0.01,0.01,0.77,75,80,7.93,8.05
2,95,0.14,0,0.07,0.01,0.01,0.77,75,80,7.92,7.98
3,95,0.14,0,0.07,0.01,0.01,0.77,75,80,7.92,8
4,95,0.14,0,0.07,0.01,0.01,0.77,75,80,7.95,7.95
1,96,0.03,0.58,0.18,0.04,0.1,0.07,75,80,7.87,8.3
2,96,0.03,0.58,0.18,0.04,0.1,0.07,75,80,7.92,8.53
3,96,0.03,0.58,0.18,0.04,0.1,0.07,75,80,7.89,8.7
4,96,0.03,0.58,0.18,0.04,0.1,0.07,75,80,7.83,8.15
1,97,0,0.31,0.01,0.02,0.15,0.51,75,80,7.64,7.9
2,97,0,0.31,0.01,0.02,0.15,0.51,75,80,7.83,7.87
3,97,0,0.31,0.01,0.02,0.15,0.51,75,80,7.81,8.22
4,97,0,0.31,0.01,0.02,0.15,0.51,75,80,7.81,8.37
1,98,0.25,0.01,0.01,0.04,0.13,0.56,80,80,7.85,8.05
2,98,0.25,0.01,0.01,0.04,0.13,0.56,80,80,7.75,8.05
3,98,0.25,0.01,0.01,0.04,0.13,0.56,80,80,7.71,7.95
4,98,0.25,0.01,0.01,0.04,0.13,0.56,80,80,7.88,8.2
1,99,0.29,0.45,0.06,0.08,0.12,0,80,80,7.8,7.95
2,99,0.29,0.45,0.06,0.08,0.12,0,80,80,7.81,8.16
3,99,0.29,0.45,0.06,0.08,0.12,0,80,80,7.78,8.3
4,99,0.29,0.45,0.06,0.08,0.12,0,80,80,7.76,8.37
1,100,0.02,0.01,0.16,0.01,0.5,0.3,85,80,7.85,8.05
2,100,0.02,0.01,0.16,0.01,0.5,0.3,85,80,7.83,8.55
3,100,0.02,0.01,0.16,0.01,0.5,0.3,85,80,7.82,8.35
4,100,0.02,0.01,0.16,0.01,0.5,0.3,85,80,7.84,8.25
1,101,0.02,0.24,0,0.03,0.26,0.45,80,80,7.85,7.93
2,101,0.02,0.24,0,0.03,0.26,0.45,80,80,7.84,8.25
3,101,0.02,0.24,0,0.03,0.26,0.45,80,80,7.82,8.07
4,101,0.02,0.24,0,0.03,0.26,0.45,80,80,7.83,8.35
1,102,0,0.01,0,0.01,0.27,0.71,90,80,7.83,7.76
2,102,0,0.01,0,0.01,0.27,0.71,90,80,7.81,8.05
3,102,0,0.01,0,0.01,0.27,0.71,90,80,7.77,7.85
4,102,0,0.01,0,0.01,0.27,0.71,90,80,7.8,7.95
1,103,0.09,0.02,0,0.06,0.4,0.43,85,80,7.9,8.06
2,103,0.09,0.02,0,0.06,0.4,0.43,85,80,7.82,8.01
3,103,0.09,0.02,0,0.06,0.4,0.43,85,80,7.86,7.95
4,103,0.09,0.02,0,0.06,0.4,0.43,85,80,7.86,8.15
1,104,0,0.16,0,0,0.25,0.59,85,80,7.88,8.7
2,104,0,0.16,0,0,0.25,0.59,85,80,7.95,8.4
3,104,0,0.16,0,0,0.25,0.59,85,80,7.88,8.18
4,104,0,0.16,0,0,0.25,0.59,85,80,7.91,8.29
1,105,0.32,0.09,0.02,0.01,0.01,0.55,90,80,7.88,8.2
2,105,0.32,0.09,0.02,0.01,0.01,0.55,90,80,7.73,8.6
3,105,0.32,0.09,0.02,0.01,0.01,0.55,90,80,7.72,8.48
4,105,0.32,0.09,0.02,0.01,0.01,0.55,90,80,7.73,8.29
1,106,0,0.08,0.13,0,0.11,0.68,80,80,7.85,8.35
2,106,0,0.08,0.13,0,0.11,0.68,80,80,7.85,8.6
3,106,0,0.08,0.13,0,0.11,0.68,80,80,7.83,8.6
4,106,0,0.08,0.13,0,0.11,0.68,80,80,7.84,8.51
1,107,0.39,0.01,0.03,0,0,0.57,90,80,7.77,8.4
2,107,0.39,0.01,0.03,0,0,0.57,90,80,7.79,8.38
3,107,0.39,0.01,0.03,0,0,0.57,90,80,7.83,8.35
4,107,0.39,0.01,0.03,0,0,0.57,90,80,7.83,8.25
1,108,0.26,0.18,0.02,0.01,0.01,0.52,90,80,7.83,8.45
2,108,0.26,0.18,0.02,0.01,0.01,0.52,90,80,7.85,8.77
3,108,0.26,0.18,0.02,0.01,0.01,0.52,90,80,7.84,8.75
4,108,0.26,0.18,0.02,0.01,0.01,0.52,90,80,7.87,8.22
1,109,0.2,0.16,0,0,0,0.64,80,80,7.86,8.05
2,109,0.2,0.16,0,0,0,0.64,80,80,7.86,8.1
