iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
3,0.1211,0.5587,0.0217,0.1016,0.145,0.0301,597.9171,1.0077,77193.0752,-1
3,0.0725,0.2657,0.1403,0.003,0.0003,0.378,450.7666,2.0956,78095.1074,-1
3,0.0709,0.2601,0.1437,0.0024,0.0029,0.3764,444.051,2.0979,77394.0765,-1
3,0.0628,0.2641,0.1435,0.003,0.0054,0.3777,445.4105,2.096,77485.4735,-1
3,0.1299,0.2253,0.1281,0.0021,0.0037,0.3828,465.6214,2.0733,80087.7606,-1
3,0.2654,0.5573,0.0803,0.0026,0.0047,0.0094,563.9168,1.4198,84127.7898,-1
3,0.0134,0.3008,0.0649,0.1712,0.0161,0.3687,548.4324,1.8408,79944.7767,-1
3,0.0621,0.2824,0.1374,0.0018,0.0046,0.3742,455.792,2.0914,78265.6434,-1
3,0.0152,0.344,0.1279,0.0031,0.004,0.3779,476.9099,2.0721,78866.1528,-1
3,0.0436,0.2802,0.1474,0.0065,0.0018,0.373,440.2517,2.0999,76334.3693,-1
3,0.051,0.2934,0.1369,0.0018,0.0072,0.3728,457.493,2.0895,78131.4169,-1
3,0.3046,0.5167,0.0412,0.0534,0.0118,0.0312,589.6463,1.1705,84082.1029,-1
3,0.2704,0.5149,0.0745,0.0271,0.0056,0.0329,568.4097,1.3754,85158.9929,-1
3,0.3085,0.5039,0.0815,0.0128,0.0073,0.0044,556.9771,1.4266,84938.8168,-1
3,0.3508,0.2834,0.0048,0.0207,0.0056,0.3299,511.7077,1.7265,87504.8788,-1
3,0.2823,0.5564,0.0596,0.0025,0.008,0.0316,579.131,1.3267,84356.1434,-1
3,0.2914,0.2464,0.0543,0.0218,0.0033,0.3284,513.4728,1.7742,87101.8566,-1
3,0.0482,0.2971,0.1349,0.0072,0.0034,0.3744,462.5723,2.086,78503.4022,-1
3,0.2673,0.5565,0.0279,0.0924,0,0.028,596.7607,1.0693,82050.8052,-1
3,0.269,0.5302,0.0652,0.0397,0.0051,0.0255,577.1645,1.3381,84453.2119,-1
3,0.0263,0.3454,0.1302,0.0018,0.0037,0.3623,468.8593,2.0791,77537.0016,-1
3,0.1378,0.5474,0.0241,0.0978,0.1396,0.0292,597.7249,1.0175,78034.2756,-1
3,0.2327,0.573,0.0208,0.0725,0.0515,0.0287,597.0908,1.0475,80440.5037,-1
